"School Number","School Name","LA Code","Local Authority","Sector","Governance - see notes","WM Code","Welsh Medium Type - see notes","School Type","Religious Character","Address 1","Address 2","Address 3","Address 4","Postcode","Phone Number","Pupils - see notes","lon","lat"
6612219,"Ysgol Tanycastell",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Harlech","Gwynedd",NA,NA,"LL46 2UE","01766 780454",77,-4.1065627,52.8626057
6612220,"Ysgol Ffridd Y Llyn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Cefnddwysarn","Bala","Gwynedd",NA,"LL23 7HE","01678 530373",63,-3.5472026,52.9312914
6612221,"Ysgol Maenofferen",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Blaenau Ffestiniog","Gwynedd",NA,NA,"LL41 3UL","01766 831256",240,-3.9399545,52.9943533
6612227,"Ysgol Hirael",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Orme Road","Bangor","Gwynedd",NA,"LL57 1BA","01248 352182",186,-4.121718,53.2315548
6612228,"Ysgol Craig y Deryn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanegryn","Gwynedd",NA,NA,"LL36 9SG","01654 710463",119,-4.0706322,52.6259871
6612229,"Ysgol Bro Llifon",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Groeslon","Caernarfon",NA,NA,"LL54 7DT","01286 830111",145,-4.2754955,53.0779684
6613004,"Ysgol Pont Y Gof",661,"Gwynedd","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Botwnnog","Pwllheli","Gwynedd",NA,"LL53 8RA","01758 730318",111,-4.5863418,52.8507593
6613005,"Ysgol Gynradd Maesincla",661,"Gwynedd","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Maesincla Caernarfon","Gwynedd",NA,NA,"LL55 1DF","01286 673787",286,-4.2595245,53.1416818
6613009,"Ysgol Y Faenol",661,"Gwynedd","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Penrhosgarnedd","Bangor","Gwynedd",NA,"LL57 2NN","01248 352162",217,-4.1695935,53.2088985
6613010,"Ysgol Foel Gron",661,"Gwynedd","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Mynytho","Pwllheli","Gwynedd",NA,"LL53 7RN","01758 740567",40,-4.5256251,52.8537594
6613013,"Ysgol Llandygai",661,"Gwynedd","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Llandygai","Bangor","Gwynedd",NA,"LL57 4HU","01248 352163",148,-4.0968966,53.2211966
6613018,"Ysgol Gynradd Llandwrog",661,"Gwynedd","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Llandwrog","Caernarfon","Gwynedd",NA,"LL54 5ST","01286 830223",50,-4.311113,53.0785356
6613023,"Ysgol Gynradd Llanystumdwy",661,"Gwynedd","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Llanystumdwy","Criccieth","Gwynedd",NA,"LL52 0SP","01766 522961",22,-4.2725007,52.9225601
6613029,"Ysgol Tregarth",661,"Gwynedd","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Tregarth","Bangor","Gwynedd",NA,"LL57 4PG","01248 600735",113,-4.086902,53.1908595
6613030,"Ysgol Cae Top",661,"Gwynedd","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Ffordd Eithinog","Bangor","Gwynedd",NA,"LL57 2GZ","01248 352325",237,-4.1519399,53.2203049
6613300,"Ysgol Santes Helen",661,"Gwynedd","Primary","Voluntary aided","WM","Welsh medium","Nursery, Infants & Juniors","Roman Catholic","Twtil","Caernarfon","Gwynedd",NA,"LL55 1PF","01286 674856",92,-4.2703867,53.1424721
6613301,"Ysgol Ein Harglwyddes",661,"Gwynedd","Primary","Voluntary aided","EW","English with significant Welsh","Nursery, Infants & Juniors","Roman Catholic","Caernarfon Road","Bangor","Gwynedd",NA,"LL57 2UT","01248 352463",122,-4.134437,53.2215874
6613305,"Ysgol Beuno Sant",661,"Gwynedd","Primary","Voluntary aided","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Heol y Castell","Bala",NA,NA,"LL23 7UU","01678 520710",40,-3.5998153,52.9120866
6614002,"Ysgol Dyffryn Ogwen Bethesda",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-19)","---","Ffordd Coetmor","Bethesda","Gwynedd",NA,"LL57 3NN","01248 600291",443,-4.0657306,53.1841681
6614003,"Ysgol Botwnnog",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-16)","---","Botwnnog","Llyn","Gwynedd",NA,"LL53 8PY","01758 730220",387,-4.5827293,52.8542553
6614004,"Ysgol Brynrefail",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-19)","---","Llanrug","Caernarfon","Gwynedd",NA,"LL55 4AD","01286 672381",694,-4.1907998,53.1518673
6614007,"Ysgol Dyffryn Nantlle",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-19)","---","Ffordd Y Brenin","Penygroes","Gwynedd",NA,"LL54 6AA","01286 880345",432,-4.2784286,53.0536312
6614009,"Ysgol Eifionydd",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-16)","---","Porthmadog","Gwynedd",NA,NA,"LL49 9HS","01766 512114",364,-4.1290264,52.9319953
6614031,"Ysgol Y Moelwyn",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-16)","---","Heol Wynne","Blaenau Ffestiniog","Gwynedd",NA,"LL41 3DW","01766 830435",312,-3.9363899,52.9912781
6614032,"Ysgol Uwchradd Tywyn",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-16)","---","Station Road","Tywyn","Gwynedd",NA,"LL36 9EU","01654 710256",275,-4.0900593,52.5845272
6614033,"Ysgol Y Berwyn",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-19)","---","Y Bala","Gwynedd",NA,NA,"LL23 7RU","01678 520259",325,-3.5970242,52.9128423
6614034,"Ysgol Ardudwy",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-16)","---","Ffordd y Traeth","Harlech","Gwynedd",NA,"LL46 2UH","01766 780331",286,-4.1115292,52.862434
6614036,"Ysgol Friars",661,"Gwynedd","Secondary","Community","EW","English with significant Welsh","Secondary (ages 11-19)","---","Lon y Bryn","Bangor","Gwynedd",NA,"LL57 2LN","01248 364905",1219,-4.1540486,53.2175337
6614037,"Ysgol Tryfan",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-19)","---","Lon Powys","Bangor","Gwynedd",NA,"LL57 2TY","01248 352633",435,-4.1449982,53.2203777
6614039,"Ysgol Syr Hugh Owen",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-19)","---","Bethel Road","Caernarfon","Gwynedd",NA,"LL55 1HW","01286 673076",837,-4.2637868,53.1460776
6614040,"Ysgol Glan Y Mor",661,"Gwynedd","Secondary","Community","AB","Bilingual (Type A)","Secondary (ages 11-16)","---","Ffordd Caerdydd","Pwllheli","Gwynedd",NA,"LL53 5NU","01758 701244",483,-4.4226988,52.8828127
6615500,"Ysgol Bro Idris",661,"Gwynedd","Middle","Community","AB","Bilingual (Type A)","Middle (ages 3-16)","---","Dolgellau",NA,NA,"Gwynedd","LL40 1HY","01341 424949",615,-3.8802025,52.7414782
6617002,"Ysgol Pendalar",661,"Gwynedd","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Ffordd Bethel","Caernarfon","Gwynedd",NA,"LL55 1DU","01286 672141",113,-4.258785,53.1477726
6617010,"Ysgol Hafod Lon",661,"Gwynedd","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Parc Busnes Eryri","Penrhyndeudraeth","Gwynedd",NA,"LL48 6LD","01766 772140",102,-4.0797158,52.9256362
6622002,"Ysgol Dolgarrog",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Llanrwst","Dolgarrog","Conwy","Gwynedd","LL32 8QE","01492 660216",72,-3.8367057,53.1927678
6622012,"Ysgol Betws Y Coed",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Bro Gethun","Betws-Y-Coed","Conwy",NA,"LL24 0BP","01690 710581",28,-3.8184234,53.0855891
6622023,"Ysgol Capelulo",662,"Conwy","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Ffordd Treforus","Dwygyfylchi","Penmaenmawr","Conwy","LL34 6RA","01492 622693",142,-3.9040317,53.2745492
6622038,"Ysgol Deganwy",662,"Conwy","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Park Drive","Deganwy","Conwy",NA,"LL31 9YB","01492 574600",328,-3.8215931,53.293245
6622043,"Ysgol Dolwyddelan",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Dolwyddelan",NA,NA,NA,"LL25 0SZ","01690 750293",20,-3.8834713,53.0528688
6622044,"Ysgol Ffordd Dyffryn",662,"Conwy","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Ffordd Dyffryn","Llandudno","Conwy",NA,"LL30 2LZ","01492 878907",174,-3.8352881,53.316095
6622053,"Ysgol Glanwydden",662,"Conwy","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Ffordd Derwen","Bae Penrhyn","Llandudno","Conwy","LL30 3LB","01492 540798",301,-3.7797477,53.3109459
6622061,"Ysgol Tudno",662,"Conwy","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Trinity Avenue","Llandudno",NA,NA,"LL30 2SJ","01492 875252",209,-3.8308301,53.3202891
6622063,"Ysgol Morfa Rhianedd",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Cwm","Llandudno","Conwy",NA,"LL30 1EG","01492 875464",162,-3.826129,53.3167264
6622086,"Ysgol Penmachno",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Penmachno","Betws-Y-Coed","Conwy",NA,"LL24 0PT","01690 760394",51,-3.8016031,53.0423927
6622103,"Ysgol Llandrillo yn Rhos",662,"Conwy","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Elwy Road","Llandrillo Yn Rhos","Colwyn Bay",NA,"LL28 4LX","01492 549648",474,-3.7488677,53.310738
6622104,"Ysgol Talhaiarn",662,"Conwy","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Llanfair Talhaiarn","Abergele","Conwy",NA,"LL22 8SD","01745 720242",53,-3.6100947,53.2166931
6622106,"Ysgol Babanod Mochdre",662,"Conwy","Primary","Community","EM","English medium","Nursery & Infants","---","Station Road","Mochdre","Conwy",NA,"LL28 5EF","01492 540194",81,-3.7662009,53.2917994
6622107,"Ysgol Tal-y-Bont",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Conwy","Tal Y Bont","Conwy",NA,"LL32 8QF","01492 660377",30,-3.8486776,53.2035044
6622108,"Ysgol T. Gwynn Jones",662,"Conwy","Primary","Community","EM","English medium","Nursery & Infants","---","Llanelian Road","Old Colwyn","Colwyn Bay",NA,"LL29 9UA","01492 516594",228,-3.7029922,53.2878715
6622110,"Ysgol Maes Owen",662,"Conwy","Primary","Community","EM","English medium","Juniors","---","Morfa Avenue","Foryd","Rhyl",NA,"LL18 5LE","01745 353721",221,-3.5251588,53.3052326
6622111,"Ysgol Glan Gele",662,"Conwy","Primary","Community","EM","English medium","Nursery & Infants","---","Ffordd y Morfa","Abergele","Conwy",NA,"LL22 7NU","01745 823584",278,-3.5755251,53.2875392
6622112,"Ysgol Glan Morfa",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd y Morfa","Abergele","Conwy",NA,"LL22 7NU","01745 832922",257,-3.5755251,53.2875392
6622114,"Ysgol Bod Alaw",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Abergele Road","Colwyn Bay",NA,NA,"LL29 7ST","01492 530420",302,-3.7200472,53.2900407
6622115,"Ysgol Pant Y Rhedyn",662,"Conwy","Primary","Community","EW","English with significant Welsh","Juniors","---","Ffordd Penmaenmawr","Llanfairfechan","Conwy",NA,"LL33 0PA","01248 680642",137,-3.973883,53.2573992
6622118,"Ysgol Y Foryd",662,"Conwy","Primary","Community","EM","English medium","Nursery & Infants","---","Morfa Avenue","Foryd","Conwy",NA,"LL18 5LE","01745 351892",238,-3.5251588,53.3052326
6622121,"Ysgol Craig Y Don",662,"Conwy","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Clarence Drive","Craig Y Don","Llandudno","Conwy","LL30 1TR","01492 878906",404,-3.8145075,53.3177733
6622123,"Ysgol Cerrigydrudion",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Yr Alwen","Cerrigydrudion","Corwen",NA,"LL21 9SW","01492 420328",81,-3.5609456,53.0264626
6622131,"Ysgol Llannefydd",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanefydd","Denbigh",NA,NA,"LL16 5EA","01745 540228",34,-3.5285785,53.2214911
6622132,"Ysgol Bro Aled, Llansannan",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llansannan","Dinbych","Conwy",NA,"LL16 5HN","01745 870660",59,-3.6002804,53.1768896
6622148,"Ysgol Gynradd Bro Cernyw",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llangernyw","Abergele","Conwy",NA,"LL22 8PP","01745 860238",100,-3.6855634,53.1941639
6622221,"Ysgol Sant Elfod",662,"Conwy","Primary","Community","EM","English medium","Juniors","---","Ffordd Y Morfa","Abergele","Conwy",NA,"LL22 7NU","01745 832007",312,-3.5755251,53.2875392
6622222,"Ysgol Capel Garmon",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Capel Garmon","Llanrwst","Conwy",NA,"LL26 0RL","01690 710287",17,-3.7708422,53.0850855
6622225,"Ysgol Glan Conwy",662,"Conwy","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Ffordd Top Llan","Glan Conwy","Conwy",NA,"LL28 5NA","01492 580421",121,-3.7937224,53.2678162
6622264,"Ysgol Cynfran",662,"Conwy","Primary","Community","EW","English with significant Welsh","Nursery, Infants & Juniors","---","Dolwen Road","Llysfaen","Colwyn Bay","Conwy","LL29 8SS","01492 517326",206,-3.6583995,53.2816549
6622267,"Ysgol Iau Hen Golwyn",662,"Conwy","Primary","Community","EM","English medium","Juniors","---","Church Walks","Old Colwyn","Conwy",NA,"LL29 9RU","01492 516258",230,-3.7027565,53.2892285
6622269,"Ysgol Cystennin",662,"Conwy","Primary","Community","EM","English medium","Juniors","---","The Old Highway","Mochdre","Colwyn Bay","Conwy","LL28 5AU","01492 540068",62,-3.7584068,53.2900203
6622270,"Ysgol Pentrefoelas",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Pentrefoelas","Betws Y Coed","Conwy",NA,"LL24 0LE","01690 770226",35,-3.6829246,53.0441041
6622271,"Ysgol Bro Gwydir",662,"Conwy","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Heol Watling","Llanrwst",NA,NA,"LL26 0EY","01492 640342",352,-3.7960608,53.1372197
6622272,"Ysgol Nant Y Groes",662,"Conwy","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Greenfield Road","Colwyn Bay","Conwy",NA,"LL29 8ET","01492 533367",302,-3.7179988,53.2934789
6622273,"Ysgol Swn Y Don",662,"Conwy","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Penmaenrhos","Swn Y Don","Colwyn Bay","Conwy","LL29 9LL","01492 517060",130,-3.6794975,53.2875856
6622274,"Ysgol Awel y Mynydd",662,"Conwy","Primary","Community","DS","Dual Stream","Nursery, Infants & Juniors","---","Sarn Mynach","Llandudno Junction","Conwy",NA,"LL31 9RT","01492 577100",447,-3.7906161,53.2863026
6623020,"Ysgol Babanod Llanfairfechan",662,"Conwy","Primary","Voluntary controlled","EW","English with significant Welsh","Nursery & Infants","Church in Wales","Ffordd Y Pentref","Llanfairfechan","Conwy",NA,"LL33 0AA","01248 680289",135,-3.9749927,53.2527239
6623021,"Ysgol Llangelynnin",662,"Conwy","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Henryd","Conwy",NA,NA,"LL32 8YB","01492 592898",86,-3.8444229,53.2538817
6623024,"Ysgol Pencae",662,"Conwy","Primary","Voluntary controlled","DS","Dual Stream","Nursery, Infants & Juniors","Church in Wales","Ffordd Graiglwyd","Penmaenmawr",NA,NA,"LL34 6YG","01492 622219",163,-3.912565,53.2695462
6623032,"Ysgol Ysbyty Ifan",662,"Conwy","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Ysbyty Ifan","Betws Y Coed","Conwy",NA,"LL24 0NY","01690 770645",17,-3.7440138,53.0166449
6623038,"Ysgol St. George",662,"Conwy","Primary","Voluntary controlled","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Primrose Hill","St George","Abergele","Conwy","LL22 9BU","01745 833213",67,-3.537101,53.2714793
6623039,"Ysgol Llanddoged",662,"Conwy","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Llanddoged","Llanrwst","Conwy",NA,"LL26 0BJ","01492 640363",51,-3.7839387,53.1560444
6623040,"Ysgol Eglwysbach",662,"Conwy","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Eglwysbach","Bae Colwyn","Conwy",NA,"LL28 5UD","01492 650463",75,-3.7920882,53.2150923
6623043,"Ysgol Porth y Felin",662,"Conwy","Primary","Voluntary controlled","EW","English with significant Welsh","Nursery, Infants & Juniors","Church in Wales","Ffordd Llanrwst","Conwy",NA,NA,"LL32 8FZ","01492 572220",344,-3.833138,53.2781964
6623059,"Ysgol Llanddulas",662,"Conwy","Primary","Voluntary controlled","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Minffordd Road","Llanddulas","Abergele","Conwy","LL22 8EW","01492 516865",160,-3.6435964,53.2883492
6623062,"Ysgol Betws yn Rhos",662,"Conwy","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Betws Yn Rhos","Abergele",NA,NA,"LL22 8AW","01492 680603",62,-3.6402725,53.247707
6623302,"Ysgol Bodafon",662,"Conwy","Primary","Voluntary aided","EW","English with significant Welsh","Nursery, Infants & Juniors","Church in Wales","Ffordd Bodafon","Llandudno","Conwy",NA,"LL30 3BA","01492 547996",102,-3.7913616,53.3190167
6623303,"Ysgol Bendigaid William Davies",662,"Conwy","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Bodnant Crescent","Llandudno","Conwy",NA,"LL30 1LL","01492 875930",114,-3.8208705,53.3121688
6623307,"Ysgol San Sior",662,"Conwy","Primary","Voluntary aided","EW","English with significant Welsh","Nursery, Infants & Juniors","Church in Wales","Church Walks","Llandudno","Conwy",NA,"LL30 2HL","01492 878149",246,-3.8379081,53.3258012
6623333,"Ysgol Sant Joseph",662,"Conwy","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Brackley Avenue","Colwyn Bay",NA,NA,"LL29 7UU","01492 532394",235,-3.7357575,53.2961303
6623340,"Ysgol y Plas",662,"Conwy","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Llanelian","Old Colwyn","Conwy",NA,"LL29 8YY","01492 680601",74,-3.6858776,53.2649546
6624022,"Ysgol John Bright",662,"Conwy","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Maesdu Road","Llandudno",NA,NA,"LL30 1LF","01492 864200",1259,-3.8239882,53.3149383
6624023,"Ysgol Aberconwy",662,"Conwy","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Morfa Drive","Conwy",NA,NA,"LL32 8ED","01492 593243",764,-3.8355665,53.286554
6624035,"Ysgol Dyffryn Conwy",662,"Conwy","Secondary","Community","BB","Bilingual (Type B)","Secondary (ages 11-19)","---","Nebo Road","Llanrwst",NA,NA,"LL26 0SD","01492 642800",661,-3.7855074,53.1341037
6624038,"Ysgol Y Creuddyn",662,"Conwy","Secondary","Community","WM","Welsh medium","Secondary (ages 11-19)","---","Ffordd Dderwen","Bae Penrhyn","Llandudno",NA,"LL30 3LB","01492 544344",562,-3.7797477,53.3109459
6625201,"Ysgol Pen Y Bryn",662,"Conwy","Primary","Foundation","EM","English medium","Nursery, Infants & Juniors","---","Wentworth Avenue","Colwyn Bay",NA,NA,"LL29 6DD","01492 531260",442,-3.7378583,53.2884721
6625400,"Ysgol Emrys Ap Iwan",662,"Conwy","Secondary","Foundation","EM","English medium","Secondary (ages 11-19)","---","Faenol Avenue","Abergele","Conwy",NA,"LL22 7HE","01745 832287",960,-3.5772382,53.2854774
